Radiant1,Radiant2,Radiant3,Radiant4,Radiant5,Dire1,Dire2,Dire3,Dire4,Dire5,RadWin
Spectre,Underlord,Clockwerk,Shadow Fiend,Bane,Keeper of the Light,Void Spirit,Phantom Lancer,Night Stalker,Mirana,0
Mirana,Void Spirit,Mars,Ogre Magi,Anti-Mage,Nature's Prophet,Earth Spirit,Slark,Witch Doctor,Dragon Knight,0
Slark,Mars,Dark Willow,Shadow Fiend,Ogre Magi,Jakiro,Pangolier,Mirana,Ember Spirit,Ursa,0
Batrider,Weaver,Earthshaker,Bane,Kunkka,Ogre Magi,Ember Spirit,Windranger,Nature's Prophet,Terrorblade,1
Templar Assassin,Grimstroke,Beastmaster,Earthshaker,Anti-Mage,Riki,Queen of Pain,Timbersaw,Tiny,Oracle,0
Lich,Snapfire,Night Stalker,Tiny,Bloodseeker,Queen of Pain,Kunkka,Troll Warlord,Oracle,Earth Spirit,1
Void Spirit,Pugna,Ursa,Phoenix,Winter Wyvern,Queen of Pain,Oracle,Rubick,Spectre,Timbersaw,1
Ogre Magi,Phoenix,Ember Spirit,Weaver,Centaur Warrunner,Grimstroke,Nature's Prophet,Morphling,Earthshaker,Batrider,1
Crystal Maiden,Windranger,Bounty Hunter,Tiny,Bloodseeker,Grimstroke,Earthshaker,Legion Commander,Ember Spirit,Juggernaut,0
Clockwerk,Luna,Warlock,Tidehunter,Viper,Windranger,Slark,Snapfire,Dragon Knight,Silencer,0
Bloodseeker,Templar Assassin,Pudge,Lich,Slardar,Invoker,Dazzle,Axe,Skywrath Mage,Anti-Mage,1
Enigma,Clockwerk,Keeper of the Light,Warlock,Dragon Knight,Abaddon,Winter Wyvern,Snapfire,Silencer,Venomancer,1
Necrophos,Disruptor,Ursa,Lone Druid,Nyx Assassin,Drow Ranger,Beastmaster,Pugna,Tusk,Vengeful Spirit,0
Enchantress,Ember Spirit,Phantom Assassin,Rubick,Enigma,Treant Protector,Ursa,Phoenix,Queen of Pain,Dragon Knight,0
Crystal Maiden,Windranger,Spirit Breaker,Weaver,Lone Druid,Disruptor,Death Prophet,Ursa,Tusk,Viper,1
Phoenix,Dazzle,Mars,Disruptor,Naga Siren,Magnus,Ogre Magi,Techies,Axe,Faceless Void,1
Luna,Death Prophet,Abaddon,Queen of Pain,Vengeful Spirit,Lifestealer,Mars,Tusk,Lina,Grimstroke,1
Pudge,Dark Willow,Morphling,Slardar,Phantom Assassin,Wraith King,Dark Seer,Clockwerk,Lich,Void Spirit,0
Earth Spirit,Bane,Beastmaster,Dazzle,Ursa,Enchantress,Spectre,Jakiro,Ember Spirit,Abaddon,1
Bane,Centaur Warrunner,Slark,Snapfire,Viper,Void Spirit,Windranger,Batrider,Lone Druid,Spectre,1
Earth Spirit,Queen of Pain,Spectre,Lich,Pugna,Troll Warlord,Lina,Tiny,Mirana,Treant Protector,1
Shadow Shaman,Leshrac,Crystal Maiden,Death Prophet,Beastmaster,Lycan,Anti-Mage,Enchantress,Dragon Knight,Slark,1
Clockwerk,Void Spirit,Pangolier,Outworld Devourer,Crystal Maiden,Vengeful Spirit,Tiny,Broodmother,Nature's Prophet,Chen,0
Axe,Disruptor,Dragon Knight,Pugna,Templar Assassin,Crystal Maiden,Juggernaut,Rubick,Legion Commander,Nature's Prophet,0
Earth Spirit,Medusa,Vengeful Spirit,Lifestealer,Batrider,Lina,Terrorblade,Windranger,Nyx Assassin,Phoenix,1
Ogre Magi,Queen of Pain,Rubick,Ursa,Legion Commander,Ember Spirit,Lina,Terrorblade,Storm Spirit,Sand King,0
