radi_Anti_Mage,radi_Axe,radi_Bane,radi_Bloodseeker,radi_Crystal_Maiden,radi_Drow_Ranger,radi_Earthshaker,radi_Juggernaut,radi_Mirana,radi_Morphling,radi_Shadow_Fiend,radi_Phantom_Lancer,radi_Puck,radi_Pudge,radi_Razor,radi_Sand_King,radi_Storm_Spirit,radi_Sven,radi_Tiny,radi_Vengeful_Spirit,radi_Windranger,radi_Zeus,radi_Kunkka,radi_Lina,radi_Lion,radi_Shadow_Shaman,radi_Slardar,radi_Tidehunter,radi_Witch_Doctor,radi_Lich,radi_Riki,radi_Enigma,radi_Tinker,radi_Sniper,radi_Necrophos,radi_Warlock,radi_Beastmaster,radi_Queen_of_Pain,radi_Venomancer,radi_Faceless_Void,radi_Wraith_King,radi_Death_Prophet,radi_Phantom_Assassin,radi_Pugna,radi_Templar_Assassin,radi_Viper,radi_Luna,radi_Dragon_Knight,radi_Dazzle,radi_Clockwerk,radi_Leshrac,radi_Natures_Prophet,radi_Lifestealer,radi_Dark_Seer,radi_Clinkz,radi_Omniknight,radi_Enchantress,radi_Huskar,radi_Night_Stalker,radi_Broodmother,radi_Bounty_Hunter,radi_Weaver,radi_Jakiro,radi_Batrider,radi_Chen,radi_Spectre,radi_Ancient_Apparition,radi_Doom,radi_Ursa,radi_Spirit_Breaker,radi_Gyrocopter,radi_Alchemist,radi_Invoker,radi_Silencer,radi_Outworld_Devourer,radi_Lycan,radi_Brewmaster,radi_Shadow_Demon,radi_Lone_Druid,radi_Chaos_Knight,radi_Meepo,radi_Treant_Protector,radi_Ogre_Magi,radi_Undying,radi_Rubick,radi_Disruptor,radi_Nyx_Assassin,radi_Naga_Siren,radi_Keeper_of_the_Light,radi_Io,radi_Visage,radi_Slark,radi_Medusa,radi_Troll_Warlord,radi_Centaur_Warrunner,radi_Magnus,radi_Timbersaw,radi_Bristleback,radi_Tusk,radi_Skywrath_Mage,radi_Abaddon,radi_Elder_Titan,radi_Legion_Commander,radi_Techies,radi_Ember_Spirit,radi_Earth_Spirit,radi_Underlord,radi_Terrorblade,radi_Phoenix,radi_Oracle,radi_Winter_Wyvern,radi_Arc_Warden,radi_Monkey_King,radi_Dark_Willow,radi_Pangolier,radi_Grimstroke,radi_Void_Spirit,radi_Snapfire,radi_Mars,dire_Anti_Mage,dire_Axe,dire_Bane,dire_Bloodseeker,dire_Crystal_Maiden,dire_Drow_Ranger,dire_Earthshaker,dire_Juggernaut,dire_Mirana,dire_Morphling,dire_Shadow_Fiend,dire_Phantom_Lancer,dire_Puck,dire_Pudge,dire_Razor,dire_Sand_King,dire_Storm_Spirit,dire_Sven,dire_Tiny,dire_Vengeful_Spirit,dire_Windranger,dire_Zeus,dire_Kunkka,dire_Lina,dire_Lion,dire_Shadow_Shaman,dire_Slardar,dire_Tidehunter,dire_Witch_Doctor,dire_Lich,dire_Riki,dire_Enigma,dire_Tinker,dire_Sniper,dire_Necrophos,dire_Warlock,dire_Beastmaster,dire_Queen_of_Pain,dire_Venomancer,dire_Faceless_Void,dire_Wraith_King,dire_Death_Prophet,dire_Phantom_Assassin,dire_Pugna,dire_Templar_Assassin,dire_Viper,dire_Luna,dire_Dragon_Knight,dire_Dazzle,dire_Clockwerk,dire_Leshrac,dire_Natures_Prophet,dire_Lifestealer,dire_Dark_Seer,dire_Clinkz,dire_Omniknight,dire_Enchantress,dire_Huskar,dire_Night_Stalker,dire_Broodmother,dire_Bounty_Hunter,dire_Weaver,dire_Jakiro,dire_Batrider,dire_Chen,dire_Spectre,dire_Ancient_Apparition,dire_Doom,dire_Ursa,dire_Spirit_Breaker,dire_Gyrocopter,dire_Alchemist,dire_Invoker,dire_Silencer,dire_Outworld_Devourer,dire_Lycan,dire_Brewmaster,dire_Shadow_Demon,dire_Lone_Druid,dire_Chaos_Knight,dire_Meepo,dire_Treant_Protector,dire_Ogre_Magi,dire_Undying,dire_Rubick,dire_Disruptor,dire_Nyx_Assassin,dire_Naga_Siren,dire_Keeper_of_the_Light,dire_Io,dire_Visage,dire_Slark,dire_Medusa,dire_Troll_Warlord,dire_Centaur_Warrunner,dire_Magnus,dire_Timbersaw,dire_Bristleback,dire_Tusk,dire_Skywrath_Mage,dire_Abaddon,dire_Elder_Titan,dire_Legion_Commander,dire_Techies,dire_Ember_Spirit,dire_Earth_Spirit,dire_Underlord,dire_Terrorblade,dire_Phoenix,dire_Oracle,dire_Winter_Wyvern,dire_Arc_Warden,dire_Monkey_King,dire_Dark_Willow,dire_Pangolier,dire_Grimstroke,dire_Void_Spirit,dire_Snapfire,dire_Mars,RadWin
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
